QuestionID,entailment_score,contradiction_score,obligation_coverage_score,composite_score
47c399ad-cdd3-4411-a543-d014fe38ddc9,0.64109,0.0004,1.0,0.88023
874909e3-155b-4253-8f4e-00efc761557b,0.03848,0.00583,0.0,0.34422
06af3cc5-e6f0-4ceb-b3fd-6fffa6048fb0,0.32954,0.29283,1.0,0.6789
80018ff6-f532-42da-98ee-fa45e5d0e40d,0.65117,0.61802,0.0,0.34438
245c0f22-ef1d-4833-8117-ca245dd5cf2b,0.02916,0.00299,0.6,0.54206
fadacd82-3d30-4df3-a1db-23b58288cda0,0.50976,0.19983,0.0,0.43664
6d876d32-7557-4149-875e-8c66f13f3485,0.25471,0.32305,0.0,0.31055
e265fe63-8c8e-4ccc-ad2d-f7a44a8f1a4c,0.42436,0.39214,1.0,0.67741
84a753ca-2a42-4909-bf85-e4d5654cc605,0.41862,0.1307,0.5,0.59597
9ebb2ddc-cf35-4ae9-b4bb-dd1786076578,0.92284,0.00737,0.6666666666666666,0.86071
b2837726-3efd-400e-b479-5a7ba59c8191,0.64118,0.17514,0.0,0.48868
8285efc0-7e8e-4e19-9c18-0d314a857edc,0.46275,0.05685,0.1111111111111111,0.50567
ebe905c6-0f40-4882-a56f-ecb803c0904f,0.12845,0.00218,0.6666666666666666,0.59765
ba016794-8321-45cf-8c64-a813077fa0ce,0.17871,0.19613,0.0,0.32753
9da23f4a-3b57-45a2-9789-81fe77652e03,0.30658,0.04089,0.5,0.58856
cd8a00f8-27a6-4f1c-95c6-d42daf379b1a,0.11376,0.0376,0.0,0.35872
7796005d-7c89-4910-a79f-d8f2b939b082,0.28666,0.06101,0.0,0.40855
589a5355-d6e2-4cc7-83a8-6e9c2a4bcecd,0.65603,0.31905,0.5,0.61233
f5b3ddca-360e-4265-b4e9-aeab04ddbcfc,0.00482,0.02178,0.0,0.32768
f3dca83c-3f58-46a7-80b8-b9b42223e895,0.17782,0.03271,0.0,0.3817
17a5b63b-5593-43bc-9977-b9d7e1111370,0.49158,0.1761,0.16666666666666666,0.49405
23a8cd46-9f36-49b9-9cc3-d3d9788dfa65,0.33029,0.00177,0,0.44284
d34e3516-f053-4652-a0ac-ede703144b9a,0.41054,0.03679,0.375,0.58292
0eb99ea8-3810-492c-9986-7739006b5708,0.26098,0.5352,0.0,0.24193
7fa708f6-f140-43ae-8086-888531566738,0.10811,0.03683,1.0,0.69043
087856ac-f3cd-4fa5-8c9f-04c78297e72d,0.35227,0.83727,0.14285714285714285,0.21929
b2dd9a7e-00b8-44d6-8e31-4b1be2807d99,0.14595,0.28537,0.5714285714285714,0.47734
c46c77b9-ca98-4aa3-9550-5ddb4c33ae96,0.68439,0.64661,0.3333333333333333,0.45704
cfbe9040-6a57-4146-85f8-3d082b435bec,0.22509,0.22632,0.06666666666666667,0.35515
985b943c-9b42-4f2a-b6e8-f7b77391d658,0.11526,0.00421,0.0,0.37035
f8693454-df7e-4015-a8d9-44fdab26a967,0.33778,0.0101,0.0,0.44256
9acf1b1c-5a26-4e3b-971b-42d4946cb952,0.10668,0.35199,0.0,0.25156
61161540-fdf4-41b9-926d-c72e95d15bdd,0.30787,0.04423,0.0,0.42121
655ca65f-bb52-41dc-9222-a2a37e3985b0,0.22022,0.04782,0.0,0.3908
49044b42-914d-458d-acab-fb7227571b40,0.34534,0.22081,0.0,0.37484
5f1cf12c-41cf-4637-8ba2-43e464390bf1,0.63472,0.38031,0.058823529411764705,0.43774
ca5c0779-8178-4e43-bdd3-fe171c573c0f,0.10605,0.15979,0.2,0.38209
4ea991ec-fbef-43f7-ae8e-2ac190796dc6,0.54603,0.1844,0.25,0.53721
0f54062b-37e8-4494-addc-63a46e239251,0.18505,0.02209,0.3333333333333333,0.49876
0ffd426f-391b-4334-9858-454ea39174a6,0.48215,0.17143,0.5,0.60357
ad7cb992-cb40-417a-ad1d-b2fa3b7d50d8,0.19157,0.14907,0.0,0.3475
a872b1b6-0a52-48f2-9874-3ec3330ca1f9,0.36701,0.48689,0.2222222222222222,0.36745
8448a7d7-6890-48af-9592-30ee7219dbd0,0.25956,0.37592,0.13636363636363635,0.34
05d3c52a-eca4-4c46-aa99-62aff331d83e,0.20991,0.05512,0.16666666666666666,0.44049
034bd420-98c2-4705-9f86-4f2c46f6f53e,0.10514,0.24217,1.0,0.62099
3c7ee8f9-05a5-4ce0-a92a-64c712a2e8f0,0.13181,0.3637,0.07142857142857142,0.27985
51e8b6a6-dfb1-4c83-8edf-6a0a0ef8b770,0.34334,0.51388,0.07692307692307693,0.30213
56439278-a353-4505-a680-3e331e6318bc,0.41377,0.02561,0.2,0.52939
19b25aff-075e-487b-8d0f-32f969da18c3,0.06926,0.04908,0.0,0.34006
1f1cf043-510d-41f7-8b17-92b3b5e48ae7,0.75662,0.26379,0.3333333333333333,0.60872
e081439d-2288-42c2-a056-8cc6207dad34,0.39088,0.16542,0.2,0.47515
9bd38f26-b6ac-4062-b076-500c38063b1f,0.45495,0.39076,0.07692307692307693,0.38037
ca7841ab-337d-4ca2-aaed-a61bca70c0de,0.59555,0.18153,0.0,0.47134
