author,sentence
Jane Austen,"The family of Dashwood had long been settled in Sussex. Their estate was large, and their residence was at Norland Park, in the centre of their property, where, for many generations, they had lived in so respectable a manner as to engage the general good opinion of their surrounding acquaintance. The late owner of this estate was a single man, who lived to a very advanced age, and who for many years of his life, had a constant companion and housekeeper in his sister. But her death, which happened ten years before his own, produced a great alteration in his home; for to supply her loss, he invited and received into his house the family of his nephew Mr. Henry Dashwood, the legal inheritor of the Norland estate, and the person to whom he intended to bequeath it. In the society of his nephew and niece, and their children, the old Gentleman’s days were comfortably spent. His attachment to them all increased. The constant attention of Mr. and Mrs. Henry Dashwood to his wishes, which proceeded not merely from interest, but from goodness of heart, gave him every degree of solid comfort which his age could receive; and the cheerfulness of the children added a relish to his existence."
Jane Austen,"The old gentleman died: his will was read, and like almost every other will, gave as much disappointment as pleasure. He was neither so unjust, nor so ungrateful, as to leave his estate from his nephew;—but he left it to him on such terms as destroyed half the value of the bequest. Mr. Dashwood had wished for it more for the sake of his wife and daughters than for himself or his son;—but to his son, and his son’s son, a child of four years old, it was secured, in such a way, as to leave to himself no power of providing for those who were most dear to him, and who most needed a provision by any charge on the estate, or by any sale of its valuable woods. The whole was tied up for the benefit of this child, who, in occasional visits with his father and mother at Norland, had so far gained on the affections of his uncle, by such attractions as are by no means unusual in children of two or three years old; an imperfect articulation, an earnest desire of having his own way, many cunning tricks, and a great deal of noise, as to outweigh all the value of all the attention which, for years, he had received from his niece and her daughters. He meant not to be unkind, however, and, as a mark of his affection for the three girls, he left them a thousand pounds a-piece."
Jane Austen,"No sooner was his father’s funeral over, than Mrs. John Dashwood, without sending any notice of her intention to her mother-in-law, arrived with her child and their attendants. No one could dispute her right to come; the house was her husband’s from the moment of his father’s decease; but the indelicacy of her conduct was so much the greater, and to a woman in Mrs. Dashwood’s situation, with only common feelings, must have been highly unpleasing;—but in _her_ mind there was a sense of honor so keen, a generosity so romantic, that any offence of the kind, by whomsoever given or received, was to her a source of immovable disgust. Mrs. John Dashwood had never been a favourite with any of her husband’s family; but she had had no opportunity, till the present, of showing them with how little attention to the comfort of other people she could act when occasion required it."
Jane Austen,"“Certainly not; but if you observe, people always live for ever when there is an annuity to be paid them; and she is very stout and healthy, and hardly forty. An annuity is a very serious business; it comes over and over every year, and there is no getting rid of it. You are not aware of what you are doing. I have known a great deal of the trouble of annuities; for my mother was clogged with the payment of three to old superannuated servants by my father’s will, and it is amazing how disagreeable she found it. Twice every year these annuities were to be paid; and then there was the trouble of getting it to them; and then one of them was said to have died, and afterwards it turned out to be no such thing. My mother was quite sick of it. Her income was not her own, she said, with such perpetual claims on it; and it was the more unkind in my father, because, otherwise, the money would have been entirely at my mother’s disposal, without any restriction whatever. It has given me such an abhorrence of annuities, that I am sure I would not pin myself down to the payment of one for all the world.”"
Jane Austen,"Edward Ferrars was not recommended to their good opinion by any peculiar graces of person or address. He was not handsome, and his manners required intimacy to make them pleasing. He was too diffident to do justice to himself; but when his natural shyness was overcome, his behaviour gave every indication of an open, affectionate heart. His understanding was good, and his education had given it solid improvement. But he was neither fitted by abilities nor disposition to answer the wishes of his mother and sister, who longed to see him distinguished—as—they hardly knew what. They wanted him to make a fine figure in the world in some manner or other. His mother wished to interest him in political concerns, to get him into parliament, or to see him connected with some of the great men of the day. Mrs. John Dashwood wished it likewise; but in the mean while, till one of these superior blessings could be attained, it would have quieted her ambition to see him driving a barouche. But Edward had no turn for great men or barouches. All his wishes centered in domestic comfort and the quiet of private life. Fortunately he had a younger brother who was more promising."
Jane Austen,"“Perhaps,” said Marianne, “I may consider it with some surprise. Edward is very amiable, and I love him tenderly. But yet—he is not the kind of young man—there is something wanting—his figure is not striking; it has none of that grace which I should expect in the man who could seriously attach my sister. His eyes want all that spirit, that fire, which at once announce virtue and intelligence. And besides all this, I am afraid, Mama, he has no real taste. Music seems scarcely to attract him, and though he admires Elinor’s drawings very much, it is not the admiration of a person who can understand their worth. It is evident, in spite of his frequent attention to her while she draws, that in fact he knows nothing of the matter. He admires as a lover, not as a connoisseur. To satisfy me, those characters must be united. I could not be happy with a man whose taste did not in every point coincide with my own. He must enter into all my feelings; the same books, the same music must charm us both. Oh! mama, how spiritless, how tame was Edward’s manner in reading to us last night! I felt for my sister most severely. Yet she bore it with so much composure, she seemed scarcely to notice it. I could hardly keep my seat. To hear those beautiful lines which have frequently almost driven me wild, pronounced with such impenetrable calmness, such dreadful indifference!”"
Jane Austen,"“Of his sense and his goodness,” continued Elinor, “no one can, I think, be in doubt, who has seen him often enough to engage him in unreserved conversation. The excellence of his understanding and his principles can be concealed only by that shyness which too often keeps him silent. You know enough of him to do justice to his solid worth. But of his minuter propensities, as you call them you have from peculiar circumstances been kept more ignorant than myself. He and I have been at times thrown a good deal together, while you have been wholly engrossed on the most affectionate principle by my mother. I have seen a great deal of him, have studied his sentiments and heard his opinion on subjects of literature and taste; and, upon the whole, I venture to pronounce that his mind is well-informed, enjoyment of books exceedingly great, his imagination lively, his observation just and correct, and his taste delicate and pure. His abilities in every respect improve as much upon acquaintance as his manners and person. At first sight, his address is certainly not striking; and his person can hardly be called handsome, till the expression of his eyes, which are uncommonly good, and the general sweetness of his countenance, is perceived. At present, I know him so well, that I think him really handsome; or at least, almost so. What say you, Marianne?”"
Jane Austen,"Elinor could not help laughing. “Excuse me,” said she; “and be assured that I meant no offence to you, by speaking, in so quiet a way, of my own feelings. Believe them to be stronger than I have declared; believe them, in short, to be such as his merit, and the suspicion—the hope of his affection for me may warrant, without imprudence or folly. But farther than this you must _not_ believe. I am by no means assured of his regard for me. There are moments when the extent of it seems doubtful; and till his sentiments are fully known, you cannot wonder at my wishing to avoid any encouragement of my own partiality, by believing or calling it more than it is. In my heart I feel little—scarcely any doubt of his preference. But there are other points to be considered besides his inclination. He is very far from being independent. What his mother really is we cannot know; but, from Fanny’s occasional mention of her conduct and opinions, we have never been disposed to think her amiable; and I am very much mistaken if Edward is not himself aware that there would be many difficulties in his way, if he were to wish to marry a woman who had not either a great fortune or high rank.”"
Jane Austen,"Elinor had given her real opinion to her sister. She could not consider her partiality for Edward in so prosperous a state as Marianne had believed it. There was, at times, a want of spirits about him which, if it did not denote indifference, spoke of something almost as unpromising. A doubt of her regard, supposing him to feel it, need not give him more than inquietude. It would not be likely to produce that dejection of mind which frequently attended him. A more reasonable cause might be found in the dependent situation which forbade the indulgence of his affection. She knew that his mother neither behaved to him so as to make his home comfortable at present, nor to give him any assurance that he might form a home for himself, without strictly attending to her views for his aggrandizement. With such a knowledge as this, it was impossible for Elinor to feel easy on the subject. She was far from depending on that result of his preference of her, which her mother and sister still considered as certain. Nay, the longer they were together the more doubtful seemed the nature of his regard; and sometimes, for a few painful minutes, she believed it to be no more than friendship."
Jane Austen,"Mrs. Dashwood took the house for a twelvemonth; it was ready furnished, and she might have immediate possession. No difficulty arose on either side in the agreement; and she waited only for the disposal of her effects at Norland, and to determine her future household, before she set off for the west; and this, as she was exceedingly rapid in the performance of everything that interested her, was soon done.—The horses which were left her by her husband had been sold soon after his death, and an opportunity now offering of disposing of her carriage, she agreed to sell that likewise at the earnest advice of her eldest daughter. For the comfort of her children, had she consulted only her own wishes, she would have kept it; but the discretion of Elinor prevailed. _Her_ wisdom too limited the number of their servants to three; two maids and a man, with whom they were speedily provided from amongst those who had formed their establishment at Norland."
